Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,514
design__inferred_latch__count,0
design__instance__count,40926
design__instance__area,263684
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,38
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1426
design__max_cap_violation__count__corner:nom_tt_025C_1v80,4
power__internal__total,0.0034433738328516483
power__switching__total,0.00386856310069561
power__leakage__total,2.4605520820841775e-07
power__total,0.007312182802706957
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.273019
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.273019
timing__hold__ws__corner:nom_tt_025C_1v80,0.320165
timing__setup__ws__corner:nom_tt_025C_1v80,64.834
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.320165
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,71.124634
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,752
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1426
design__max_cap_violation__count__corner:nom_ss_100C_1v60,6
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.491488
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.491488
timing__hold__ws__corner:nom_ss_100C_1v60,0.890424
timing__setup__ws__corner:nom_ss_100C_1v60,41.803959
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0.0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.890424
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,41.803959
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1426
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,4
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.189289
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.189289
timing__hold__ws__corner:nom_ff_n40C_1v95,0.111049
timing__setup__ws__corner:nom_ff_n40C_1v95,70.553528
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0.0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111049
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,83.904358
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,999
design__max_fanout_violation__count,1426
design__max_cap_violation__count,18
clock__skew__worst_hold,0.513362
clock__skew__worst_setup,0.178406
timing__hold__ws,0.109258
timing__setup__ws,40.15197
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0.0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109258
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,40.15197
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 600.0 600.0
design__core__bbox,5.52 10.88 594.32 587.52
flow__warnings__count,1
flow__errors__count,0
design__io,211
design__die__area,360000
design__core__area,339526
design__instance__count__stdcell,40926
design__instance__area__stdcell,263684
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.776625
design__instance__utilization__stdcell,0.776625
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
floorplan__design__io,209
design__io__hpwl,28053355
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,722415
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2192
antenna__violating__nets,2
antenna__violating__pins,2
route__antenna_violation__count,2
route__net,21767
route__net__special,2
route__drc_errors__iter:1,29901
route__wirelength__iter:1,944134
route__drc_errors__iter:2,10758
route__wirelength__iter:2,933657
route__drc_errors__iter:3,10067
route__wirelength__iter:3,929999
route__drc_errors__iter:4,1822
route__wirelength__iter:4,928174
route__drc_errors__iter:5,320
route__wirelength__iter:5,927934
route__drc_errors__iter:6,5
route__wirelength__iter:6,927849
route__drc_errors__iter:7,0
route__wirelength__iter:7,927850
route__drc_errors,0
route__wirelength,927850
route__vias,205867
route__vias__singlecut,205867
route__vias__multicut,0
design__disconnected_pin__count,32
design__critical_disconnected_pin__count,0
route__wirelength__max,1079.48
timing__unannotated_net__count__corner:nom_tt_025C_1v80,96
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,96
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,96
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,12
design__max_fanout_violation__count__corner:min_tt_025C_1v80,1426
design__max_cap_violation__count__corner:min_tt_025C_1v80,1
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.258883
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.258883
timing__hold__ws__corner:min_tt_025C_1v80,0.316556
timing__setup__ws__corner:min_tt_025C_1v80,65.030983
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0.0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.316556
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,72.019104
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,96
